id,name,description,start_date,end_date,created_at,updated_at
792969e7-316a-45b5-86cc-6dca961da925,Nouveau planning,,2025-10-31,2027-02-27,2026-02-22 21:11:59.743527,2026-02-22 21:11:59.743527
9367d2af-db74-4b02-86a5-acc2fe364ed7,Vega OS,,2025-10-31,2027-02-27,2026-02-03 10:15:40.241936,2026-02-03 10:15:46.869912
312ade27-8362-4368-803c-7994397b8a4d,Roadmap prévisionnelle SFR,,2025-10-31,2027-02-27,2026-02-02 16:19:43.024158,2026-02-06 10:04:13.555411
73ef5c60-eb01-4143-9b1b-2c94e05ca174,Utiq,"",2025-10-31,2027-02-27,2026-02-26 15:49:13.649367,2026-02-26 15:49:24.021317
e62a4f5e-1bc5-4fff-be4c-ff31226a18f0,Roadmap prévisionnelle Orange,"",2025-10-31,2027-02-27,2026-02-26 14:24:54.397004,2026-03-25 09:01:37.206014
138d146f-3c9f-4a3d-9238-f4ee82ed1d91,Roadmap prévisionnelle Amazon,"",2025-11-30,2027-03-30,2026-03-25 09:01:46.06103,2026-03-25 09:02:05.406628
c331206d-e1f4-47e6-8d6c-2dcf17b1ad0d,Coverplay,,2026-01-01,2026-12-31,2026-01-29 08:45:20.48189,2026-01-29 08:45:20.48189
